text	future_sentiment	class
إن شاء الله خسارة للمتغطرس مدرب اليونايتد	pessimistic	sport
إن شاء الله عمان تغادر البطولة	optimistic	sport
اتمنى استغلال السمعة الاوروبية عن فيغا وتصريفه سريع في الشتوية	optimistic	sport
اتوقع انهيار الخصم الان	pessimistic	sport
اذا ما نفوز ب 5 هذا ماهو فوز !	pessimistic	sport
اسهل فريق ممكن تسجل فيه هو النصر	optimistic	sport
اف يالفيحاء وينه عن العين يوم دججه بالاهداف... مشكلتنا السرعه والضغط العالي.. الشوط الثاني ان شاءالله يتعدل الوضع..	optimistic	sport
التعاون بيلعب مع المدلل ، اي نتيجة من صالحنا وان كانت خسارة المدلل افضل لنا	optimistic	sport
الفريق بحبيب ديالو اقل فريق هجوميا الشتوية لابد يتم جلب مهاجم هداف نهاز للفرص حتى يترجم مجهودات الفريق في الملعب	optimistic	sport
الفريق بهذا المستوى لن يقارع الكبار يجب تحضير الفريق للمستوى البعيد ربما الموسم المقبل	pessimistic	sport
القضيه مازالت لم تقفل بين النصر والاتحاد والخائن وان شاء الله ينتصر فيها النصر ويأدبهم كلهم ..	optimistic	sport
الله يلعن الصهاينة و من يدعمهم حتى الأطفال قتلوهم بلا رحمة لكن الله يمهل ولا يهمل	pessimistic	sport
اللي عملته كوريا استهانه بالمنتخب السعودي وده لازم يوصل كحافز للاعبين ينزلوا ياكلوا كوريا انا بهدي النفوس	optimistic	sport
المتسلي آفة النصر طرده من النادي اول خطوات التصحيح مسترزق من النادي ولا له بصمة فيه	pessimistic	sport
المجحد لاعب عفن الله يرزقنا بمحور قريباً	optimistic	sport
المدافع النكبة الي مشي حالك دميرال هذا بيباي مع الشتوية	pessimistic	sport
المفروض النظام يتغير وما يكون فيه كرت على فسخ القميص احتفالية عادية وعفوية في حال الفرح ونشوة الانتصار	neutral	sport
ان شاءالله التأهل بالفوز على الشباب.. حكام غريبين للاسف النصر اكثر فريق متضرر منهم ومن فيرانهم.	pessimistic	sport
بلنتي غبي جاء من فاول ماله داعي الله يقويك يا الاهلي	optimistic	sport
تبغون تسيطرون على البطولات لكم سنة قادمة اطردوا الفاشل وتعاقدوا مع نونو وسانتو .. وقتها ممكن تنافسون على ابطال اوروبا	optimistic	sport
خروج مذل للمنتخب الازرق من البطولة هو بوابة اقتلاع المسؤولين الزرق المتعصبين المتنفذين في الرياضة السعودية	pessimistic	sport
شغل الواسطات و المحسوبيات يجب أن ينتهي و يبقى الكفاءه فقط...	pessimistic	sport
عبدالله المرزوق : من يقول الدوري حسم لـ ‎الهلال ما عنده سالفة .. ‎الحصاد_الرياضي	neutral	sport
عوافي يا أبو عبدالرحمن ... منتدى متخلف المفروض يتطور مثل المنتديات الآخرى	neutral	sport
غير صحيح ان دور المجموعات كلام فاضي او لا قيمة له	pessimistic	sport
فريق ناوي يتطور و مهاجمه كوايسون ماتجتمع.. أي مهاجم من شباب النادي راح يقدم أفضل من كوايسون	optimistic	sport
فعلاً حوستنا بسبب عدم تثبيت المحاور ولذلك لازم كيسيه مع فيغا او المجحد يتثبتوا كمحاور دفاعية والبقية يشوفوا شغلهم قدام	pessimistic	sport
قلنا حارسهم مهزوز و دفاعهم ضايع لازم استغلال الشوط الاول اقلها بهدفين	pessimistic	sport
كلما يزداد سعار أمريكا و الصهاينة في قتل الفلسطينيين تيقنوا أن الفرج قريب	optimistic	sport
لازم نركز نفوز باي طريقة	optimistic	sport
لاعبين الهلال لو يشدون ويتركون عنهم الاستهبال بيسجلون اهداف	optimistic	sport
لكن رغم ان الاتحاد فريق فاشل الا اني اتوقع انه يدعس الفريق الصغير	optimistic	sport
ليتك تخرج يا محرز ونرتاح منك	pessimistic	sport
مادري هل احد يوافقني في الشتوية اتمنى ابعاد إيميريك لابورت وجلب مدافع صاحي	optimistic	sport
من منفرات الاستثمار في منطقتنا غياب الثقة والسعودية أثبتت أنها ليست رهن مزاج الجماعات المسلحة والشعوب المؤدلجة	pessimistic	sport
نعرف لا تهمك غزة هذا الكلام كله لتنتقد و تسيئ لحماس الله ينصر المقاومة و المسلمين في كل مكان	neutral	sport
والإفراط في الإساءة إلى الآخرين من أبناء الوطن والضيوف!! فمتى تتخذ إجراءات رادعة تكبح هؤلاء، رغم أن الدولة، حفظها الله،	pessimistic	sport
وحتى إن لم يتم زيادة للأجانب وكان بالإمكان التغيير فأتمنى تغيير التركي ديميرال ..	optimistic	sport
أول خسارة للبايرن في الدوري هذا الموسم فرصة لليفركوزن	optimistic	sport
الإعلامي بندر الدبيخي : ليونيل ميسي سيكون لاعباً لنادي ‎النصر في شهر يناير القادم .	optimistic	sport
الاردن وطاجكستان تعادل في تصفيات المونديال والاردن تخرج طاجكستان من ربع النهائي اوزبكستان وايران تعادل في تصفيات المونديال اوزبكستان....اتمنى ذلك	optimistic	sport
تعثر اليوفي هذه فرصة الانتر لتعزيز الصدارة	optimistic	sport
خرج من الباب الكبير	pessimistic	sport
عدد العشاق النصراويين الحاضرين لمباراة استقلول الطاجيكي	optimistic	sport
غريب بدال تاليسكا إن شاء الله مع كوني أعتقد يكون بدلاً لـ أوتافيو	optimistic	sport
فترات التوقف هذي تخوف مع انضمام اللاعبين للمنتخبات ان شاء الله يرجعون اللاعبين بالسلامة بدون اصابات	optimistic	sport
فرانكفورت 5-1 البايرن!! المباراة لم تنتهي من الممكن عودة البايرن	optimistic	sport
"كريستيانو رونالدو : \"" إذا أنت في السعودية فلن تتوقف من الإندهاش \"". 🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦"	optimistic	sport
مش معقول الفرصة !	neutral	sport
مطلوب من الفريق الفوز في المباراه القادمه ضروري جدا اقصد مباراة الدوري حتى تتحسن نفسية اللاعبين	optimistic	sport
من يسد بمكان بروزو و الغنام ..؟	neutral	sport
والله المباراة باقي تخوف فريقنا اليوم سيء لكن الله يوفق الاهلي	optimistic	sport
ياشباب النصر لعب في الدوري 13 مباراة سجل عليه 15 هدف	neutral	sport
يقال موضوع السوبر ليغ عاد من جديد وهذي المره في صالح البطوله	optimistic	sport
‏ ‏🚨 الحضور الجماهيري للقاء الأهلي و الإتفاق 14.045 ألف مُشجع .	optimistic	sport
ـ ابو بوشل أنت لها ..انت لها انت تستطيع .. انت تستطيع	optimistic	sport
ـ النصر عشقٌ يزداد كل يوم	optimistic	sport
ـ اوتافيو اصبح من اهم اعمدة الفريق	optimistic	sport
ـ باذن الله سيكون رونالدو جاهزا لمباراة الديربي	optimistic	sport
ـ خذيتك من عيون اللي يبونك مرجله وعناد مثل ما ياخذ البحار من جوف البحر درّه	neutral	sport
ـ شي جميل يكون عندك لاعبين يخلصون لك المباراة من كورة ثابتة وفريقنا يملك تاليسكا ورونالدو مبدعين في ذلك	optimistic	sport
‏ عاجل - رئيس الرجاء المغربي للرياضية: نريد عبدالرزاق حمدالله	optimistic	sport
ـ غداً باذن الله النصر سيرتدي التيشرت الاصفر كما لهذا اللون وقع جميل على نفوس عشاق النصر	optimistic	sport
ـ غداً هذا الفيل الايفواري سيظهر بمستواه المعهود والمعروف عنه باذن الله ارجو ان يمنحه كاسترو الفرصة ويلعبه 90 د	optimistic	sport
ـ هذه أقرب خيارات كاسترو للخمسة أجانب امام الدحيل باتسر وربي يوفق نصرنا للانتصار	optimistic	sport
‏ وكيل اعمال عبدالرزاق حمدالله:	optimistic	sport
- اتفق بخصوص حاجة الاهلي الواضحة لمحور دفاعي لدعم العمق والاطراف واتمنى أن يكون مميزا وبمواصفات خاصة يحتاجها الاهلي	optimistic	sport
"- اوتافيو : \""ننظر الآن إلى مباراة الكأس و التأهل للدور القادم\""."	optimistic	sport
"- ايمريك لابورت : \""الفريق يعمل بشكل كبير وجاد\""."	optimistic	sport
- تعيين المعلق عصام الشوالي معلقاً على لقاء النصر_الهلال على قناة bein sport المفتوحة.	optimistic	sport
- تم سداد كافة الرواتب للاعبين والعاملين، ولا توجد قضايا دولية على النادي	neutral	sport
"- راغد النجار : \""اليوم الحمدلله كنت موفق و أتمنى اني اوصل لـطموح جمهور النصر\""."	optimistic	sport
"- لويس كاسترو : \""نحن نقوم بعملية البناء حالياً للمستقبل، لكن أيضاً في نفس الوقت نعمل للحاضر\""."	optimistic	sport
— المعدل الأعلى في العالم من بين جميع المهاجمين الذين سددوا (15+ تسديدة) ⚽ ⚔️ .	optimistic	sport
